sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,mlb,Arizona Diamondbacks__San Diego Padres,Arizona Diamondbacks,1.4,2026-04-26T20:06:00Z,live,2026-04-26T22:29:28Z
fanduel,mlb,Arizona Diamondbacks__San Diego Padres,San Diego Padres,2.9,2026-04-26T20:06:00Z,live,2026-04-26T22:29:28Z
betrivers,mlb,Arizona Diamondbacks__San Diego Padres,Arizona Diamondbacks,1.3,2026-04-26T20:06:00Z,live,2026-04-26T22:29:42Z
betrivers,mlb,Arizona Diamondbacks__San Diego Padres,San Diego Padres,3.3,2026-04-26T20:06:00Z,live,2026-04-26T22:29:42Z
bovada,mlb,Arizona Diamondbacks__San Diego Padres,Arizona Diamondbacks,1.4,2026-04-26T20:06:00Z,live,2026-04-26T22:28:16Z
bovada,mlb,Arizona Diamondbacks__San Diego Padres,San Diego Padres,2.85,2026-04-26T20:06:00Z,live,2026-04-26T22:28:16Z
fanduel,mlb,Miami Marlins__San Francisco Giants,San Francisco Giants,21.0,2026-04-26T20:06:00Z,live,2026-04-26T22:17:05Z
fanduel,mlb,Miami Marlins__San Francisco Giants,Miami Marlins,1.0,2026-04-26T20:06:00Z,live,2026-04-26T22:17:05Z
betrivers,mlb,Kansas City Royals__Los Angeles Angels,Kansas City Royals,3.35,2026-04-26T20:10:29Z,live,2026-04-26T22:29:42Z
betrivers,mlb,Kansas City Royals__Los Angeles Angels,Los Angeles Angels,1.28,2026-04-26T20:10:29Z,live,2026-04-26T22:29:42Z
bovada,mlb,Kansas City Royals__Los Angeles Angels,Kansas City Royals,3.25,2026-04-26T20:10:29Z,live,2026-04-26T22:28:16Z
bovada,mlb,Kansas City Royals__Los Angeles Angels,Los Angeles Angels,1.32,2026-04-26T20:10:29Z,live,2026-04-26T22:28:16Z
fanduel,mlb,Kansas City Royals__Los Angeles Angels,Kansas City Royals,3.4,2026-04-26T20:10:29Z,live,2026-04-26T22:28:44Z
fanduel,mlb,Kansas City Royals__Los Angeles Angels,Los Angeles Angels,1.3,2026-04-26T20:10:29Z,live,2026-04-26T22:28:44Z
