sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.18,2026-04-26T20:50:00Z,live,2026-04-26T22:22:56Z
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,4.7,2026-04-26T20:50:00Z,live,2026-04-26T22:22:56Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.21,2026-04-26T20:50:00Z,live,2026-04-26T22:20:00Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,4.15,2026-04-26T20:50:00Z,live,2026-04-26T22:20:00Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.98,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:22:56Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:22:56Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.96,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:23:20Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:23:20Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.97,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:20:00Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:20:00Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:22:56Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:22:56Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:23:20Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:23:20Z
