sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,flyers__penguins,penguins,2.14,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,flyers__penguins,flyers,1.73,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:49Z
draftkings,nhl,flyers__penguins,penguins,2.14,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:12Z
draftkings,nhl,flyers__penguins,flyers,1.74,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:12Z
betmgm,nhl,flyers__penguins,penguins,2.15,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:02Z
betmgm,nhl,flyers__penguins,flyers,1.74,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:02Z
betrivers,nhl,flyers__penguins,penguins,2.18,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:13Z
betrivers,nhl,flyers__penguins,flyers,1.7,2026-04-27T23:10:00Z,upcoming,2026-04-27T18:11:13Z
bovada,nhl,flyers__penguins,penguins,2.1,2026-04-27T23:10:00Z,upcoming,2026-04-27T17:58:45Z
bovada,nhl,flyers__penguins,flyers,1.77,2026-04-27T23:10:00Z,upcoming,2026-04-27T17:58:45Z
fanduel,nhl,golden knights__mammoth,mammoth,2.0,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,golden knights__mammoth,golden knights,1.83,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:49Z
draftkings,nhl,golden knights__mammoth,mammoth,1.95,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:12Z
draftkings,nhl,golden knights__mammoth,golden knights,1.87,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:12Z
betmgm,nhl,golden knights__mammoth,mammoth,1.98,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:02Z
betmgm,nhl,golden knights__mammoth,golden knights,1.85,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:02Z
betrivers,nhl,golden knights__mammoth,mammoth,2.02,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:13Z
betrivers,nhl,golden knights__mammoth,golden knights,1.82,2026-04-28T01:40:00Z,upcoming,2026-04-27T18:11:13Z
bovada,nhl,golden knights__mammoth,mammoth,1.97,2026-04-28T01:40:00Z,upcoming,2026-04-27T17:58:45Z
bovada,nhl,golden knights__mammoth,golden knights,1.85,2026-04-28T01:40:00Z,upcoming,2026-04-27T17:58:45Z
draftkings,nhl,bruins__sabres,sabres,2.42,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:12Z
draftkings,nhl,bruins__sabres,bruins,1.59,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:12Z
betmgm,nhl,bruins__sabres,sabres,2.4,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:02Z
betmgm,nhl,bruins__sabres,bruins,1.59,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:02Z
fanduel,nhl,bruins__sabres,sabres,2.38,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,bruins__sabres,bruins,1.59,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:49Z
betrivers,nhl,bruins__sabres,sabres,2.5,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:13Z
betrivers,nhl,bruins__sabres,bruins,1.55,2026-04-28T23:40:00Z,upcoming,2026-04-27T18:11:13Z
bovada,nhl,bruins__sabres,sabres,2.47,2026-04-28T23:40:00Z,upcoming,2026-04-27T17:58:45Z
